AreaName,AreaCode,AreaLevel,Region,YearGroup,SchoolYear,AcademicYear,MeasuredCount,UnderweightCount,UnderweightPct,UnderweightLCI,UnderweightUCI,HealthyWeightCount,HealthyWeightPct,HealthyWeightLCI,HealthyWeightUCI,OverweightCount,OverweightPct,OverweightLCI,OverweightUCI,ObesityCount,ObesityPct,ObesityLCI,ObesityUCI,SevereObesityCount,SevereObesityPct,SevereObesityLCI,SevereObesityUCI,ExcessWeightCount,ExcessWeightPct,ExcessWeightLCI,ExcessWeightUCI,SourceSheet
England,E92000001,England,England,Reception,"Reception, aged 4 to 5 years",2024 to 2025,545589,5989,1.1,1.1,1.1,411345,75.4,75.3,75.5,71013,13.0,12.9,13.1,57242,10.5,10.4,10.6,15995,2.9,2.9,3.0,128255,23.5,23.4,23.6,Table_9a
England,E92000001,England,England,Year 6,"Year 6, aged 10 to 11 years",2024 to 2025,600304,9637,1.6,1.6,1.6,373570,62.2,62.1,62.4,83544,13.9,13.8,14.0,133553,22.2,22.1,22.4,33484,5.6,5.5,5.6,217097,36.2,36.0,36.3,Table_9b
Suffolk,E10000029,Upper-tier local authority,East of England,Reception,"Reception, aged 4 to 5 years",2024 to 2025,6660,55,0.8,0.6,1.1,5040,75.7,74.6,76.7,895,13.4,12.6,14.3,670,10.1,9.4,10.8,175,2.6,2.3,3.1,1565,23.5,22.5,24.5,Table_9a
Suffolk,E10000029,Upper-tier local authority,East of England,Year 6,"Year 6, aged 10 to 11 years",2024 to 2025,7390,110,1.5,1.2,1.8,4800,65.0,63.9,66.1,990,13.4,12.6,14.2,1490,20.2,19.3,21.1,345,4.7,4.2,5.2,2480,33.6,32.5,34.6,Table_9b
Ipswich,E07000202,Lower-tier local authority,East of England,Reception,"Reception, aged 4 to 5 years",2024 to 2025,1465,15,1.0,0.6,1.6,1090,74.4,72.0,76.5,205,14.0,12.2,15.7,160,10.9,9.4,12.6,50,3.4,2.6,4.5,365,24.9,22.6,27.0,Table_10a
Ipswich,E07000202,Lower-tier local authority,East of England,Year 6,"Year 6, aged 10 to 11 years",2024 to 2025,1635,30,1.8,1.4,2.7,1000,61.2,58.6,63.3,200,12.2,10.7,13.9,405,24.8,22.8,27.0,95,5.8,4.7,7.0,605,37.0,34.7,39.4,Table_10b
East Suffolk,E07000244,Lower-tier local authority,East of England,Reception,"Reception, aged 4 to 5 years",2024 to 2025,1920,15,0.8,0.4,1.2,1440,75.0,73.0,76.9,260,13.5,12.2,15.2,205,10.7,9.3,12.1,50,2.6,1.9,3.4,465,24.2,22.4,26.2,Table_10a
East Suffolk,E07000244,Lower-tier local authority,East of England,Year 6,"Year 6, aged 10 to 11 years",2024 to 2025,2235,30,1.3,0.9,1.8,1450,64.9,62.9,66.8,300,13.4,12.2,15.0,455,20.4,18.7,22.1,115,5.1,4.3,6.1,755,33.8,31.9,35.8,Table_10b
West Suffolk,E07000245,Lower-tier local authority,East of England,Reception,"Reception, aged 4 to 5 years",2024 to 2025,1560,15,1.0,0.5,1.4,1185,76.0,73.9,78.1,205,13.1,11.6,15.0,155,9.9,8.5,11.5,45,2.9,2.1,3.8,360,23.1,21.1,25.3,Table_10a
West Suffolk,E07000245,Lower-tier local authority,East of England,Year 6,"Year 6, aged 10 to 11 years",2024 to 2025,1620,20,1.2,0.9,2.0,1060,65.4,63.2,67.8,230,14.2,12.6,16.1,305,18.8,17.0,20.8,70,4.3,3.4,5.4,535,33.0,30.9,35.4,Table_10b
Babergh,E07000200,Lower-tier local authority,East of England,Reception,"Reception, aged 4 to 5 years",2024 to 2025,795,,,,,610,76.7,73.2,79.1,105,13.2,11.0,15.7,80,10.1,8.0,12.2,20,2.5,1.4,3.5,185,23.3,20.3,26.1,Table_10a
Babergh,E07000200,Lower-tier local authority,East of England,Year 6,"Year 6, aged 10 to 11 years",2024 to 2025,890,10,1.1,0.7,2.2,600,67.4,64.5,70.6,120,13.5,11.2,15.7,160,18.0,15.5,20.5,30,3.4,2.6,5.0,275,30.9,28.2,34.3,Table_10b
Mid Suffolk,E07000203,Lower-tier local authority,East of England,Reception,"Reception, aged 4 to 5 years",2024 to 2025,915,10,1.1,0.4,1.7,715,78.1,75.4,80.7,115,12.6,10.8,15.1,75,8.2,6.6,10.1,15,1.6,1.1,2.8,190,20.8,18.4,23.7,Table_10a
Mid Suffolk,E07000203,Lower-tier local authority,East of England,Year 6,"Year 6, aged 10 to 11 years",2024 to 2025,1010,15,1.5,1.0,2.6,690,68.3,65.4,71.2,135,13.4,11.6,15.8,165,16.3,14.3,18.9,35,3.5,2.6,4.9,305,30.2,27.3,32.9,Table_10b
